,UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
0,137401375,650406,2022-02-21 23:49:08,2022-02-22 00:01:17,Poza stacją,Śrubowa / Strzegomska,13
1,137401538,650186,2022-02-22 00:06:55,2022-02-22 00:13:41,Żelazna / Pereca,Rynek,7
2,137401581,57466,2022-02-22 00:12:46,2022-02-22 00:15:30,Zachodnia / Poznańska,Legnicka / Zachodnia ,3
3,137401579,650432,2022-02-22 00:12:29,2022-02-22 00:16:50,Piaskowa / św. Ducha,Nowowiejska / Jedności Narodowej,5
4,137401458,57307,2022-02-21 23:57:34,2022-02-22 00:18:00,Plac Jana Pawła II (Akademia Muzyczna),Legnicka / Wejherowska,21
5,137401497,57928,2022-02-22 00:02:38,2022-02-22 00:18:13,Zachodnia / Poznańska,Fosa Miejska ,16
6,137401638,651541,2022-02-22 00:18:12,2022-02-22 00:18:54,Powstańców Śląskich/Orla,Powstańców Śląskich/Orla,1
7,137401567,57202,2022-02-22 00:10:53,2022-02-22 00:20:56,Nowowiejska / Wyszyńskiego,Poza stacją,11
8,137401607,57274,2022-02-22 00:15:34,2022-02-22 00:21:35,Świdnicka / Piłsudskiego (Hotel Scandic),pl. Orląt Lwowskich,7
9,137401473,651275,2022-02-21 23:59:58,2022-02-22 00:23:11,Plac Jana Pawła II (Akademia Muzyczna),Lotnicza / Na Ostatnim Groszu,24
10,137401598,650769,2022-02-22 00:14:17,2022-02-22 00:25:00,Hubska / Prudnicka,Tarnogajska / Klimasa,11
11,137401656,650455,2022-02-22 00:20:32,2022-02-22 00:26:57,Jedności Narodowej / Wyszyńskiego,Sienkiewicza / Wyszyńskiego,7
12,137401660,57410,2022-02-22 00:21:09,2022-02-22 00:27:05,Poza stacją,al. Armii Krajowej / Bardzka,6
13,137401773,57133,2022-02-22 00:36:34,2022-02-22 00:42:40,Piaskowa / św. Ducha,Nowowiejska / Jedności Narodowej,7
14,137401700,651510,2022-02-22 00:26:50,2022-02-22 00:43:41,Legnicka / Wejherowska,Graniczna / Strzegomska,17
15,137401780,650023,2022-02-22 00:37:25,2022-02-22 00:52:00,Plac Powstańców Śląskich,Plac Strzegomski / Poznańska,15
16,137401852,651390,2022-02-22 00:46:52,2022-02-22 00:56:16,Młodych Techników,Rynek,10
17,137401820,57725,2022-02-22 00:43:12,2022-02-22 00:57:04,Legnicka / Wejherowska,Rynek,14
18,137401960,651034,2022-02-22 01:01:00,2022-02-22 01:07:54,Lotnicza / Na Ostatnim Groszu,Pilczycka / Kozanowska,7
19,137401984,651298,2022-02-22 01:04:22,2022-02-22 01:14:14,Pereca / Grabiszyńska,Dworzec Główny ,10
20,137402048,650054,2022-02-22 01:13:15,2022-02-22 01:22:14,Drobnera / Dubois,Żeromskiego / Daszyńskiego,9
21,137402112,57322,2022-02-22 01:21:51,2022-02-22 01:31:21,Kołłątaja / Podwale,Zaporoska / Grabiszyńska,10
22,137402152,57537,2022-02-22 01:30:36,2022-02-22 01:37:57,Plac Dominikański (Galeria Dominikańska),Nowowiejska / Jedności Narodowej,8
23,137402158,57321,2022-02-22 01:31:15,2022-02-22 01:39:03,Kościuszki / Komuny Paryskiej / Zgodna,Hubska / Prudnicka,8
24,137402159,57827,2022-02-22 01:31:39,2022-02-22 01:39:39,Aleja Hallera / Mielecka,Powstańców Śląskich/Orla,8
25,137401985,57128,2022-02-22 01:04:24,2022-02-22 01:41:53,Rondo Reagana,Nowowiejska / Wyszyńskiego,38
26,137402221,57195,2022-02-22 01:41:43,2022-02-22 01:44:38,Kamienna / Borowska (Aquapark),Poza stacją,3
27,137402224,651147,2022-02-22 01:42:17,2022-02-22 01:44:52,Sienkiewicza / Wyszyńskiego,Nowowiejska / Wyszyńskiego,3
28,137402228,650266,2022-02-22 01:42:43,2022-02-22 01:51:31,Świeradowska (Ferio Gaj ),Ślężna / Aleja Wiśniowa,9
