UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
94037821,650287,2020-03-31 23:59:21,2020-04-01 00:04:42,Mińska / Stanisławowska,Graniczna / Strzegomska,6
94037873,57009,2020-04-01 00:11:10,2020-04-01 00:15:16,Wyszyńskiego / Szczytnicka,Piaskowa / św. Ducha,5
94037881,650349,2020-04-01 00:14:53,2020-04-01 00:24:44,Rondo Reagana,Jedności Narodowej / Wyszyńskiego,10
94037959,650638,2020-04-01 00:36:52,2020-04-01 00:42:09,Poza stacją,Żmigrodzka / Broniewskiego,6
94037976,57671,2020-04-01 00:43:48,2020-04-01 00:44:01,.RELOKACYJNA,Szczęśliwa (Sky Tower),1
94037971,57459,2020-04-01 00:42:12,2020-04-01 00:49:34,Drzewieckiego / Dedala,Drzewieckiego / Dedala,8
94037825,57765,2020-04-01 00:00:09,2020-04-01 00:54:14,Legnicka / Zachodnia ,Stacyjna (Dworzec Mikołajów),55
94037972,650761,2020-04-01 00:42:22,2020-04-01 00:54:18,Sienkiewicza / Piastowska,Aleja Kromera,12
94037826,651203,2020-04-01 00:00:28,2020-04-01 00:54:24,Legnicka / Zachodnia ,Stacyjna (Dworzec Mikołajów),54
94037999,650683,2020-04-01 00:54:43,2020-04-01 00:55:28,Aleja Kromera,Aleja Kromera,1
94038002,57320,2020-04-01 00:55:40,2020-04-01 00:56:37,Aleja Kromera,Aleja Kromera,1
94037988,57671,2020-04-01 00:47:13,2020-04-01 01:00:27,Szczęśliwa (Sky Tower),Plac Jana Pawła II (Akademia Muzyczna),14
94037987,650987,2020-04-01 00:47:12,2020-04-01 01:00:40,Szczęśliwa (Sky Tower),Plac Jana Pawła II (Akademia Muzyczna),14
94009519,57985,2020-03-30 12:47:13,2020-04-01 01:07:56,"Kosmonautów / Fieldorfa, szpital wojewódzki","Kosmonautów / Fieldorfa, szpital wojewódzki",2181
94038015,57671,2020-04-01 01:01:56,2020-04-01 01:15:15,Plac Jana Pawła II (Akademia Muzyczna),Legnicka (Park Magnolia),14
94038016,650987,2020-04-01 01:02:07,2020-04-01 01:15:17,Plac Jana Pawła II (Akademia Muzyczna),Legnicka (Park Magnolia),14
94038004,57913,2020-04-01 00:56:56,2020-04-01 01:20:14,Aleja Kromera,Krzywoustego - Rynek Psie Pole,24
94038108,650894,2020-04-01 02:05:41,2020-04-01 02:21:54,Poza stacją,Pereca / Grabiszyńska,17
94038118,650432,2020-04-01 02:22:42,2020-04-01 02:23:11,Prochowicka / Dolnobrzeska,Prochowicka / Dolnobrzeska,1
94038110,57849,2020-04-01 02:10:18,2020-04-01 02:30:57,Bardzka / Piękna,Plac Uniwersytecki (UWr),21
94038116,650102,2020-04-01 02:17:24,2020-04-01 02:31:46,Żeromskiego / Kluczborska,Żeromskiego / Daszyńskiego,15
94038121,650815,2020-04-01 02:23:03,2020-04-01 02:42:15,Krzywoustego - Rynek Psie Pole,Zatorska / Królewska - pętla MPK,20
94038123,650432,2020-04-01 02:24:17,2020-04-01 02:56:29,Prochowicka / Dolnobrzeska,Prochowicka / Dolnobrzeska,33
94038117,650116,2020-04-01 02:22:11,2020-04-01 02:57:07,Prochowicka / Dolnobrzeska,Prochowicka / Dolnobrzeska,35
94038160,650968,2020-04-01 03:17:09,2020-04-01 03:28:03,Lotnicza / Metalowców,Legnicka (Park Magnolia),11
94038162,650349,2020-04-01 03:27:38,2020-04-01 03:37:32,Jedności Narodowej / Wyszyńskiego,Reymonta / Kleczkowska,10
94038193,650218,2020-04-01 04:20:09,2020-04-01 04:23:40,al. Karkonoska / Jeździecka,Zwycięska / Ołtaszyńska,4
94038202,650516,2020-04-01 04:34:23,2020-04-01 04:42:07,Pereca / Grabiszyńska,Aleja Hallera / Mielecka,8
94038209,650211,2020-04-01 04:44:37,2020-04-01 04:49:42,Zwycięska / Ołtaszyńska,Wałbrzyska - pętla tramwajowa,6
94038225,650175,2020-04-01 05:00:55,2020-04-01 05:09:22,Hubska / Prudnicka,Ślężna / Kamienna (Uniw. Ekonomiczny),9
94038239,650974,2020-04-01 05:10:31,2020-04-01 05:14:23,Kościuszki / Pułaskiego,Dworzec Główny ,4
94038235,650382,2020-04-01 05:04:47,2020-04-01 05:15:47,Kutrzeby / Hubala,al. Karkonoska / Jeździecka,11
94038253,57051,2020-04-01 05:18:04,2020-04-01 05:24:10,Poza stacją,Kościuszki / Komuny Paryskiej / Zgodna,7
94038245,650869,2020-04-01 05:13:14,2020-04-01 05:24:26,Lotnicza / Na Ostatnim Groszu,Fabryczna / Wagonowa,12
94038282,651206,2020-04-01 05:29:12,2020-04-01 05:33:42,Kościuszki / Komuny Paryskiej / Zgodna,Dworzec Główny ,5
94038286,650987,2020-04-01 05:30:47,2020-04-01 05:36:22,Legnicka (Park Magnolia),Fabryczna / Wagonowa,6
94038288,650894,2020-04-01 05:31:34,2020-04-01 05:37:45,Pereca / Grabiszyńska,Grabiszyńska / Magazynierska (Corte Verona),7
94038291,57707,2020-04-01 05:33:28,2020-04-01 05:41:47,Mińska / Stanisławowska,Poza stacją,9
94038312,57530,2020-04-01 05:42:19,2020-04-01 05:50:05,"Dworzec Główny, południe",Hubska / Prudnicka,8
94038334,57949,2020-04-01 05:51:48,2020-04-01 06:00:37,Wyszyńskiego / Szczytnicka,Drobnera / Dubois,9
94038343,57733,2020-04-01 05:56:06,2020-04-01 06:04:03,Zaporoska / Gajowicka,Powstańcow Śląskich / Aleja Hallera,8
94038341,57276,2020-04-01 05:55:09,2020-04-01 06:05:31,Rogowska / Zemska,Graniczna / Strzegomska,11
94038359,650108,2020-04-01 06:02:39,2020-04-01 06:08:08,Poza stacją,Norwida / Wyspiańskiego (PWr),6
94038362,57345,2020-04-01 06:03:33,2020-04-01 06:20:19,Zaporoska / Grabiszyńska,Plac Strzegomski / Poznańska,17
94038420,57285,2020-04-01 06:22:12,2020-04-01 06:26:52,Grabiszyńska / Aleja Hallera,Hallera / Odkrywców,5
94038395,650108,2020-04-01 06:12:47,2020-04-01 06:29:06,Norwida / Wyspiańskiego (PWr),Poza stacją,17
94038419,57136,2020-04-01 06:21:44,2020-04-01 06:30:24,Rogowska / Zemska,Graniczna / Strzegomska,9
94038441,650137,2020-04-01 06:28:38,2020-04-01 06:31:50,Nowowiejska / Wyszyńskiego,Nowowiejska / Jedności Narodowej,4
94038509,650133,2020-04-01 06:42:22,2020-04-01 06:43:51,Na Grobli (PWr - Geocentrum),Na Grobli (PWr - Geocentrum),2
94038494,57671,2020-04-01 06:38:32,2020-04-01 06:45:03,Legnicka (Park Magnolia),Popowicka ,7
94038470,57391,2020-04-01 06:34:05,2020-04-01 06:48:09,Poza stacją,al. Armii Krajowej / Tarnogajska,15
94038523,650564,2020-04-01 06:44:30,2020-04-01 06:49:43,Bałtycka / Żmigrodzka,Żmigrodzka / Marino,6
94038375,57821,2020-04-01 06:06:12,2020-04-01 06:51:40,Bacciarellego,Borowska (Uniw. Szpital Kliniczny),46
94038499,650466,2020-04-01 06:41:06,2020-04-01 06:54:38,Kamieńskiego / Jutrosińska,Żmigrodzka / Broniewskiego,14
94038580,650694,2020-04-01 06:57:22,2020-04-01 07:03:11,Stabłowicka / Główna ,Wojanowska / Arbuzowa ,6
94038558,650750,2020-04-01 06:52:08,2020-04-01 07:03:27,Kazimierza Wielkiego (Helios),Janiszewskiego (PWr),12
94038567,650619,2020-04-01 06:54:36,2020-04-01 07:03:29,Popowicka / Niedźwiedzia ,Fabryczna / Wagonowa,9
94038607,57959,2020-04-01 07:05:21,2020-04-01 07:08:49,Sienkiewicza / Wyszyńskiego,Wyszyńskiego / Szczytnicka,4
94038562,651217,2020-04-01 06:53:21,2020-04-01 07:10:27,Plac Staszica,Kościuszki / Pułaskiego,18
94038629,650296,2020-04-01 07:09:27,2020-04-01 07:13:19,Wyszyńskiego / Szczytnicka,Plac Powstańców Warszawy (Muzeum Narodowe),4
94038505,650671,2020-04-01 06:41:34,2020-04-01 07:13:54,Legnicka / Młodych Techników,Ślężna / Skierniewicka,33
